date,agegroup,race,gender,cases,tested,deaths
2020-11-29,<20,NH/PI*,NA,84,1760,0
2020-11-29,<20,Other,NA,3759,55569,0
2020-11-29,<20,White,NA,30456,453749,2
2020-11-29,<20,NA,NA,102207,1287547,8
2020-11-29,20-29,AI/AN**,NA,164,1904,0
2020-11-29,20-29,Asian,NA,2730,172822,2
2020-11-29,20-29,Black,NA,12567,152625,16
2020-11-29,20-29,Hispanic,NA,29843,200951,20
2020-11-29,20-29,Left Blank,NA,44203,764568,0
2020-11-29,20-29,NH/PI*,NA,131,3016,0
2020-11-29,20-29,Other,NA,4923,81291,1
2020-11-29,20-29,White,NA,42522,676358,1
2020-11-29,20-29,NA,NA,137083,2053535,40
2020-11-29,30-39,AI/AN**,NA,148,1292,0
2020-11-29,30-39,Asian,NA,2454,47886,6
2020-11-29,30-39,Black,NA,11584,119173,56
2020-11-29,30-39,Hispanic,NA,25931,127743,84
2020-11-29,30-39,Left Blank,NA,37940,684135,2
2020-11-29,30-39,NH/PI*,NA,137,1796,0
2020-11-29,30-39,Other,NA,4395,52623,0
2020-11-29,30-39,White,NA,33415,447088,15
2020-11-29,30-39,NA,NA,116004,1481736,163
2020-11-29,40-49,AI/AN**,NA,127,1135,1
2020-11-29,40-49,Asian,NA,2308,31675,13
2020-11-29,40-49,Black,NA,10915,111761,107
2020-11-29,40-49,Hispanic,NA,26581,112113,192
2020-11-29,40-49,Left Blank,NA,35644,591935,3
2020-11-29,40-49,NH/PI*,NA,131,1392,1
2020-11-29,40-49,Other,NA,4050,41665,0
2020-11-29,40-49,White,NA,32083,376216,58
2020-11-29,40-49,NA,NA,111839,1267892,375
2020-11-29,50-59,AI/AN**,NA,126,1145,2
2020-11-29,50-59,Asian,NA,2038,26709,28
2020-11-29,50-59,Black,NA,10430,119317,251
2020-11-29,50-59,Hispanic,NA,18912,84393,353
2020-11-29,50-59,Left Blank,NA,34360,618737,9
2020-11-29,50-59,NH/PI*,NA,108,1424,2
2020-11-29,50-59,Other,NA,3656,37810,5
2020-11-29,50-59,White,NA,37588,451698,239
2020-11-29,50-59,NA,NA,107218,1341233,889
2020-11-29,60-69,AI/AN**,NA,83,829,4
2020-11-29,60-69,Asian,NA,1574,17599,73
2020-11-29,60-69,Black,NA,7942,101059,585
2020-11-29,60-69,Hispanic,NA,9502,47542,518
2020-11-29,60-69,Left Blank,NA,23117,510868,27
2020-11-29,60-69,NH/PI*,NA,87,893,3
2020-11-29,60-69,Other,NA,2318,28378,14
2020-11-29,60-69,White,NA,30415,415481,748
2020-11-29,60-69,NA,NA,75038,1122649,1972
2020-11-29,70-79,AI/AN**,NA,47,448,3
2020-11-29,70-79,Asian,NA,825,9106,114
2020-11-29,70-79,Black,NA,4483,51975,697
2020-11-29,70-79,Hispanic,NA,3736,19566,473
2020-11-29,70-79,Left Blank,NA,11082,295616,62
2020-11-29,70-79,NH/PI*,NA,32,345,2
2020-11-29,70-79,Other,NA,1042,15973,21
2020-11-29,70-79,White,NA,18687,280876,1587
2020-11-29,70-79,NA,NA,39934,673905,2959
2020-11-29,80+,AI/AN**,NA,31,247,6
2020-11-29,80+,Asian,NA,569,5447,214
2020-11-29,80+,Black,NA,2898,28791,867
2020-11-29,80+,Hispanic,NA,1823,9886,490
2020-11-29,80+,Left Blank,NA,8293,321861,198
2020-11-29,80+,NH/PI*,NA,19,152,3
2020-11-29,80+,Other,NA,529,8271,26
2020-11-29,80+,White,NA,16401,248878,3983
2020-11-29,80+,NA,NA,30563,623533,5787
2020-11-29,Unknown,AI/AN**,NA,0,1,0
2020-11-29,Unknown,Asian,NA,0,52,0
2020-11-29,Unknown,Black,NA,5,173,0
2020-11-29,Unknown,Hispanic,NA,11,264,0
2020-11-29,Unknown,Left Blank,NA,175,577899,0
2020-11-29,Unknown,NH/PI*,NA,0,0,0
2020-11-29,Unknown,Other,NA,2,45,0
2020-11-29,Unknown,White,NA,35,554,0
2020-11-29,Unknown,NA,NA,228,578988,0
2020-11-29,NA,AI/AN**,NA,839,8143,16
2020-11-29,NA,Asian,NA,14056,389140,450
2020-11-29,NA,Black,NA,68789,783230,2584
2020-11-29,NA,Hispanic,NA,140237,752609,2131
2020-11-29,NA,Left Blank,NA,229188,4814595,301
2020-11-29,NA,NH/PI*,NA,729,10778,11
2020-11-29,NA,Other,NA,24674,321625,67
2020-11-29,NA,White,NA,241602,3350898,6633
2020-11-29,NA,NA,Female,371567,5449057,5640
2020-11-29,NA,NA,Male,337409,4131640,6553
2020-11-29,NA,NA,Unknown/Left Blank,11138,850321,0
2020-11-28,<20,AI/AN**,NA,111,1137,0
2020-11-28,<20,Asian,NA,1548,77693,0
2020-11-28,<20,Black,NA,7907,97946,5
2020-11-28,<20,Hispanic,NA,23713,149599,1
2020-11-28,<20,Left Blank,NA,33814,445051,0
2020-11-28,<20,NH/PI*,NA,84,1759,0
2020-11-28,<20,Other,NA,3733,55333,0
2020-11-28,<20,White,NA,30211,452072,2
2020-11-28,<20,NA,NA,101121,1280590,8
2020-11-28,20-29,AI/AN**,NA,162,1897,0
2020-11-28,20-29,Asian,NA,2699,172139,2
2020-11-28,20-29,Black,NA,12496,151802,16
2020-11-28,20-29,Hispanic,NA,29645,200166,20
2020-11-28,20-29,Left Blank,NA,43677,758931,0
2020-11-28,20-29,NH/PI*,NA,131,3014,0
2020-11-28,20-29,Other,NA,4876,80876,1
2020-11-28,20-29,White,NA,42151,673213,1
2020-11-28,20-29,NA,NA,135837,2042038,40
2020-11-28,30-39,AI/AN**,NA,147,1288,0
2020-11-28,30-39,Asian,NA,2438,47590,6
2020-11-28,30-39,Black,NA,11520,118463,56
2020-11-28,30-39,Hispanic,NA,25738,127199,84
2020-11-28,30-39,Left Blank,NA,37440,678928,2
2020-11-28,30-39,NH/PI*,NA,135,1788,0
2020-11-28,30-39,Other,NA,4352,52314,0
2020-11-28,30-39,White,NA,33132,444541,15
2020-11-28,30-39,NA,NA,114902,1472111,163
2020-11-28,40-49,AI/AN**,NA,125,1130,1
2020-11-28,40-49,Asian,NA,2287,31455,13
2020-11-28,40-49,Black,NA,10840,111054,107
2020-11-28,40-49,Hispanic,NA,26431,111596,191
2020-11-28,40-49,Left Blank,NA,35153,587536,3
2020-11-28,40-49,NH/PI*,NA,131,1389,1
2020-11-28,40-49,Other,NA,4007,41394,0
2020-11-28,40-49,White,NA,31791,374094,58
2020-11-28,40-49,NA,NA,110765,1259648,374
2020-11-28,50-59,AI/AN**,NA,126,1140,2
2020-11-28,50-59,Asian,NA,2021,26495,28
2020-11-28,50-59,Black,NA,10379,118636,248
2020-11-28,50-59,Hispanic,NA,18798,84005,350
2020-11-28,50-59,Left Blank,NA,33869,614127,9
2020-11-28,50-59,NH/PI*,NA,105,1413,2
2020-11-28,50-59,Other,NA,3620,37568,5
2020-11-28,50-59,White,NA,37210,449096,237
2020-11-28,50-59,NA,NA,106128,1332480,881
2020-11-28,60-69,AI/AN**,NA,83,829,4
2020-11-28,60-69,Asian,NA,1557,17480,73
2020-11-28,60-69,Black,NA,7886,100552,583
2020-11-28,60-69,Hispanic,NA,9444,47282,517
2020-11-28,60-69,Left Blank,NA,22742,507067,27
2020-11-28,60-69,NH/PI*,NA,87,891,3
2020-11-28,60-69,Other,NA,2287,28220,14
2020-11-28,60-69,White,NA,30134,413192,746
2020-11-28,60-69,NA,NA,74220,1115513,1967
2020-11-28,70-79,AI/AN**,NA,47,446,3
2020-11-28,70-79,Asian,NA,817,9051,113
2020-11-28,70-79,Black,NA,4448,51719,696
2020-11-28,70-79,Hispanic,NA,3716,19461,468
2020-11-28,70-79,Left Blank,NA,10930,293427,62
2020-11-28,70-79,NH/PI*,NA,32,345,2
2020-11-28,70-79,Other,NA,1030,15893,21
2020-11-28,70-79,White,NA,18502,279365,1581
2020-11-28,70-79,NA,NA,39522,669707,2946
2020-11-28,80+,AI/AN**,NA,31,246,6
2020-11-28,80+,Asian,NA,564,5420,213
2020-11-28,80+,Black,NA,2884,28577,865
2020-11-28,80+,Hispanic,NA,1816,9844,489
2020-11-28,80+,Left Blank,NA,8132,318800,195
2020-11-28,80+,NH/PI*,NA,19,152,3
2020-11-28,80+,Other,NA,522,8218,26
2020-11-28,80+,White,NA,16248,247460,3961
2020-11-28,80+,NA,NA,30216,618717,5758
2020-11-28,Unknown,AI/AN**,NA,0,1,0
2020-11-28,Unknown,Asian,NA,0,52,0
2020-11-28,Unknown,Black,NA,5,172,0
2020-11-28,Unknown,Hispanic,NA,11,264,0
2020-11-28,Unknown,Left Blank,NA,172,576388,0
2020-11-28,Unknown,NH/PI*,NA,0,0,0
2020-11-28,Unknown,Other,NA,2,45,0
2020-11-28,Unknown,White,NA,35,552,0
2020-11-28,Unknown,NA,NA,225,577474,0
2020-11-28,NA,AI/AN**,NA,832,8114,16
2020-11-28,NA,Asian,NA,13931,387375,448
2020-11-28,NA,Black,NA,68365,778921,2576
2020-11-28,NA,Hispanic,NA,139312,749416,2120
2020-11-28,NA,Left Blank,NA,225929,4780255,298
2020-11-28,NA,NH/PI*,NA,724,10751,11
2020-11-28,NA,Other,NA,24429,319861,67
2020-11-28,NA,White,NA,239414,3333585,6601
2020-11-28,NA,NA,Female,367856,5414079,5621
2020-11-28,NA,NA,Male,334004,4106292,6516
2020-11-28,NA,NA,Unknown/Left Blank,11076,847907,0
2020-11-27,<20,AI/AN**,NA,111,1123,0
2020-11-27,<20,Asian,NA,1538,77568,0
2020-11-27,<20,Black,NA,7857,97470,5
2020-11-27,<20,Hispanic,NA,23572,148849,1
2020-11-27,<20,Left Blank,NA,33162,439434,0
2020-11-27,<20,NH/PI*,NA,84,1756,0
2020-11-27,<20,Other,NA,3697,55145,0
2020-11-27,<20,White,NA,29919,450236,2
2020-11-27,<20,NA,NA,99940,1271581,8
2020-11-27,20-29,AI/AN**,NA,160,1886,0
2020-11-27,20-29,Asian,NA,2683,171818,2
2020-11-27,20-29,Black,NA,12409,150853,16
2020-11-27,20-29,Hispanic,NA,29492,199039,20
2020-11-27,20-29,Left Blank,NA,43169,751163,0
2020-11-27,20-29,NH/PI*,NA,130,3008,0
2020-11-27,20-29,Other,NA,4834,80578,1
2020-11-27,20-29,White,NA,41796,670208,1
2020-11-27,20-29,NA,NA,134673,2028553,40
2020-11-27,30-39,AI/AN**,NA,144,1275,0
2020-11-27,30-39,Asian,NA,2410,47352,6
2020-11-27,30-39,Black,NA,11417,117623,55
2020-11-27,30-39,Hispanic,NA,25589,126410,84
2020-11-27,30-39,Left Blank,NA,36825,671925,2
2020-11-27,30-39,NH/PI*,NA,134,1781,0
2020-11-27,30-39,Other,NA,4304,52090,0
2020-11-27,30-39,White,NA,32783,441775,15
2020-11-27,30-39,NA,NA,113606,1460231,162
2020-11-27,40-49,AI/AN**,NA,123,1118,1
2020-11-27,40-49,Asian,NA,2271,31197,13
2020-11-27,40-49,Black,NA,10753,110318,103
2020-11-27,40-49,Hispanic,NA,26301,110803,189
2020-11-27,40-49,Left Blank,NA,34544,581251,3
2020-11-27,40-49,NH/PI*,NA,130,1385,1
2020-11-27,40-49,Other,NA,3961,41176,0
2020-11-27,40-49,White,NA,31466,371860,58
2020-11-27,40-49,NA,NA,109549,1249108,368
2020-11-27,50-59,AI/AN**,NA,125,1136,2
2020-11-27,50-59,Asian,NA,2005,26302,28
2020-11-27,50-59,Black,NA,10297,117976,248
2020-11-27,50-59,Hispanic,NA,18689,83447,348
2020-11-27,50-59,Left Blank,NA,33302,607656,9
2020-11-27,50-59,NH/PI*,NA,105,1407,2
2020-11-27,50-59,Other,NA,3571,37400,4
2020-11-27,50-59,White,NA,36825,446408,236
2020-11-27,50-59,NA,NA,104919,1321732,877
2020-11-27,60-69,AI/AN**,NA,82,827,4
2020-11-27,60-69,Asian,NA,1537,17365,72
2020-11-27,60-69,Black,NA,7840,100146,580
2020-11-27,60-69,Hispanic,NA,9388,46998,512
2020-11-27,60-69,Left Blank,NA,22392,502103,27
2020-11-27,60-69,NH/PI*,NA,86,887,3
2020-11-27,60-69,Other,NA,2260,28104,14
2020-11-27,60-69,White,NA,29785,410823,733
2020-11-27,60-69,NA,NA,73370,1107253,1945
2020-11-27,70-79,AI/AN**,NA,47,446,3
2020-11-27,70-79,Asian,NA,802,8992,111
2020-11-27,70-79,Black,NA,4407,51490,691
2020-11-27,70-79,Hispanic,NA,3669,19348,462
2020-11-27,70-79,Left Blank,NA,10733,290752,60
2020-11-27,70-79,NH/PI*,NA,32,345,2
2020-11-27,70-79,Other,NA,1026,15828,21
2020-11-27,70-79,White,NA,18291,277819,1568
2020-11-27,70-79,NA,NA,39007,665020,2918
2020-11-27,80+,AI/AN**,NA,30,245,6
2020-11-27,80+,Asian,NA,555,5368,212
2020-11-27,80+,Black,NA,2850,28405,859
2020-11-27,80+,Hispanic,NA,1798,9777,484
2020-11-27,80+,Left Blank,NA,7982,315359,188
2020-11-27,80+,NH/PI*,NA,19,152,3
2020-11-27,80+,Other,NA,514,8169,25
2020-11-27,80+,White,NA,16025,245190,3934
2020-11-27,80+,NA,NA,29773,612665,5711
2020-11-27,Unknown,AI/AN**,NA,0,1,0
2020-11-27,Unknown,Asian,NA,0,52,0
2020-11-27,Unknown,Black,NA,5,172,0
2020-11-27,Unknown,Hispanic,NA,11,264,0
2020-11-27,Unknown,Left Blank,NA,171,571995,0
2020-11-27,Unknown,NH/PI*,NA,0,0,0
2020-11-27,Unknown,Other,NA,2,45,0
2020-11-27,Unknown,White,NA,37,551,0
2020-11-27,Unknown,NA,NA,226,573080,0
2020-11-27,NA,AI/AN**,NA,822,8057,16
2020-11-27,NA,Asian,NA,13801,386014,444
2020-11-27,NA,Black,NA,67835,774453,2557
2020-11-27,NA,Hispanic,NA,138509,744935,2100
2020-11-27,NA,Left Blank,NA,222280,4731638,289
2020-11-27,NA,NH/PI*,NA,720,10721,11
2020-11-27,NA,Other,NA,24169,318535,65
2020-11-27,NA,White,NA,236927,3314870,6547
2020-11-27,NA,NA,Female,363740,5370435,5568
2020-11-27,NA,NA,Male,330338,4076951,6461
2020-11-27,NA,NA,Unknown/Left Blank,10985,841837,0
2020-11-26,<20,AI/AN**,NA,111,1114,0
2020-11-26,<20,Asian,NA,1532,77361,0
2020-11-26,<20,Black,NA,7794,96904,5
2020-11-26,<20,Hispanic,NA,23424,147880,1
2020-11-26,<20,Left Blank,NA,32416,434799,0
2020-11-26,<20,NH/PI*,NA,83,1747,0
2020-11-26,<20,Other,NA,3668,54831,0
2020-11-26,<20,White,NA,29728,448234,2
2020-11-26,<20,NA,NA,98756,1262870,8
2020-11-26,20-29,AI/AN**,NA,159,1874,0
2020-11-26,20-29,Asian,NA,2668,171334,2
2020-11-26,20-29,Black,NA,12329,149970,16
2020-11-26,20-29,Hispanic,NA,29337,197809,20
2020-11-26,20-29,Left Blank,NA,42458,743407,0
2020-11-26,20-29,NH/PI*,NA,130,3003,0
2020-11-26,20-29,Other,NA,4797,80043,1
2020-11-26,20-29,White,NA,41552,666501,1
2020-11-26,20-29,NA,NA,133430,2013941,40
2020-11-26,30-39,AI/AN**,NA,143,1272,0
2020-11-26,30-39,Asian,NA,2400,47063,6
2020-11-26,30-39,Black,NA,11349,116810,54
2020-11-26,30-39,Hispanic,NA,25453,125465,84
2020-11-26,30-39,Left Blank,NA,36117,664711,3
2020-11-26,30-39,NH/PI*,NA,134,1771,0
2020-11-26,30-39,Other,NA,4277,51632,0
2020-11-26,30-39,White,NA,32527,438436,14
2020-11-26,30-39,NA,NA,112400,1447160,161
2020-11-26,40-49,AI/AN**,NA,121,1112,1
2020-11-26,40-49,Asian,NA,2253,30994,13
2020-11-26,40-49,Black,NA,10684,109593,103
2020-11-26,40-49,Hispanic,NA,26175,110034,188
2020-11-26,40-49,Left Blank,NA,33828,574967,4
2020-11-26,40-49,NH/PI*,NA,129,1382,1
2020-11-26,40-49,Other,NA,3924,40891,0
2020-11-26,40-49,White,NA,31229,369654,57
2020-11-26,40-49,NA,NA,108343,1238627,367
2020-11-26,50-59,AI/AN**,NA,124,1130,2
2020-11-26,50-59,Asian,NA,1993,26113,27
2020-11-26,50-59,Black,NA,10242,117271,247
2020-11-26,50-59,Hispanic,NA,18616,82882,347
2020-11-26,50-59,Left Blank,NA,32601,601360,9
2020-11-26,50-59,NH/PI*,NA,105,1404,2
2020-11-26,50-59,Other,NA,3552,37159,4
2020-11-26,50-59,White,NA,36564,443910,235
2020-11-26,50-59,NA,NA,103797,1311229,873
2020-11-26,60-69,AI/AN**,NA,81,821,4
2020-11-26,60-69,Asian,NA,1531,17235,72
2020-11-26,60-69,Black,NA,7791,99607,580
2020-11-26,60-69,Hispanic,NA,9331,46700,510
2020-11-26,60-69,Left Blank,NA,21895,497335,27
2020-11-26,60-69,NH/PI*,NA,86,886,3
2020-11-26,60-69,Other,NA,2245,27962,14
2020-11-26,60-69,White,NA,29544,408762,728
2020-11-26,60-69,NA,NA,72504,1099308,1938
2020-11-26,70-79,AI/AN**,NA,47,445,3
2020-11-26,70-79,Asian,NA,799,8927,109
2020-11-26,70-79,Black,NA,4381,51225,687
2020-11-26,70-79,Hispanic,NA,3643,19229,459
2020-11-26,70-79,Left Blank,NA,10506,288269,65
2020-11-26,70-79,NH/PI*,NA,32,345,2
2020-11-26,70-79,Other,NA,1018,15744,20
2020-11-26,70-79,White,NA,18158,276522,1556
2020-11-26,70-79,NA,NA,38584,660706,2901
2020-11-26,80+,AI/AN**,NA,29,242,6
2020-11-26,80+,Asian,NA,550,5332,210
2020-11-26,80+,Black,NA,2825,28222,856
2020-11-26,80+,Hispanic,NA,1791,9721,484
2020-11-26,80+,Left Blank,NA,7849,312279,196
2020-11-26,80+,NH/PI*,NA,19,152,3
2020-11-26,80+,Other,NA,509,8112,25
2020-11-26,80+,White,NA,15877,243554,3895
2020-11-26,80+,NA,NA,29449,607614,5675
2020-11-26,Unknown,AI/AN**,NA,0,0,0
2020-11-26,Unknown,Asian,NA,0,52,0
2020-11-26,Unknown,Black,NA,5,172,0
2020-11-26,Unknown,Hispanic,NA,11,263,0
2020-11-26,Unknown,Left Blank,NA,171,569557,0
2020-11-26,Unknown,NH/PI*,NA,0,0,0
2020-11-26,Unknown,Other,NA,2,45,0
2020-11-26,Unknown,White,NA,37,549,0
2020-11-26,Unknown,NA,NA,226,570638,0
2020-11-26,NA,AI/AN**,NA,815,8010,16
2020-11-26,NA,Asian,NA,13726,384411,439
2020-11-26,NA,Black,NA,67400,769774,2548
2020-11-26,NA,Hispanic,NA,137781,739983,2093
2020-11-26,NA,Left Blank,NA,217841,4686684,304
2020-11-26,NA,NH/PI*,NA,718,10690,11
2020-11-26,NA,Other,NA,23992,316419,64
2020-11-26,NA,White,NA,235216,3296122,6488
2020-11-26,NA,NA,Female,359848,5326562,5533
2020-11-26,NA,NA,Male,326775,4046871,6430
2020-11-26,NA,NA,Unknown/Left Blank,10866,838660,0
2020-11-25,<20,AI/AN**,NA,107,1105,0
2020-11-25,<20,Asian,NA,1500,77009,0
2020-11-25,<20,Black,NA,7673,96126,5
2020-11-25,<20,Hispanic,NA,23100,146956,1
2020-11-25,<20,Left Blank,NA,31639,429245,0
2020-11-25,<20,NH/PI*,NA,81,1744,0
2020-11-25,<20,Other,NA,3598,54363,0
2020-11-25,<20,White,NA,29261,444631,2
2020-11-25,<20,NA,NA,96959,1251179,8
2020-11-25,20-29,AI/AN**,NA,155,1854,0
2020-11-25,20-29,Asian,NA,2621,169924,2
2020-11-25,20-29,Black,NA,12157,148510,16
2020-11-25,20-29,Hispanic,NA,28978,196219,20
2020-11-25,20-29,Left Blank,NA,41647,734133,0
2020-11-25,20-29,NH/PI*,NA,128,2993,0
2020-11-25,20-29,Other,NA,4713,79235,1
2020-11-25,20-29,White,NA,40934,659171,1
2020-11-25,20-29,NA,NA,131333,1992039,40
2020-11-25,30-39,AI/AN**,NA,142,1257,0
2020-11-25,30-39,Asian,NA,2362,46446,6
2020-11-25,30-39,Black,NA,11189,115444,54
2020-11-25,30-39,Hispanic,NA,25159,124356,84
2020-11-25,30-39,Left Blank,NA,35304,656223,2
2020-11-25,30-39,NH/PI*,NA,131,1756,0
2020-11-25,30-39,Other,NA,4209,51010,0
2020-11-25,30-39,White,NA,31963,432326,14
2020-11-25,30-39,NA,NA,110459,1428818,160
2020-11-25,40-49,AI/AN**,NA,118,1103,1
2020-11-25,40-49,Asian,NA,2215,30581,13
2020-11-25,40-49,Black,NA,10535,108354,103
2020-11-25,40-49,Hispanic,NA,25893,109137,186
2020-11-25,40-49,Left Blank,NA,33062,568064,3
2020-11-25,40-49,NH/PI*,NA,127,1366,1
2020-11-25,40-49,Other,NA,3845,40406,0
2020-11-25,40-49,White,NA,30679,364836,56
2020-11-25,40-49,NA,NA,106474,1223847,363
2020-11-25,50-59,AI/AN**,NA,118,1113,2
2020-11-25,50-59,Asian,NA,1960,25761,28
2020-11-25,50-59,Black,NA,10128,116143,246
2020-11-25,50-59,Hispanic,NA,18343,82165,346
2020-11-25,50-59,Left Blank,NA,31836,594381,9
2020-11-25,50-59,NH/PI*,NA,105,1392,2
2020-11-25,50-59,Other,NA,3479,36733,4
2020-11-25,50-59,White,NA,35992,438666,229
2020-11-25,50-59,NA,NA,101961,1296354,866
2020-11-25,60-69,AI/AN**,NA,79,817,4
2020-11-25,60-69,Asian,NA,1512,17029,72
2020-11-25,60-69,Black,NA,7688,98758,579
2020-11-25,60-69,Hispanic,NA,9222,46303,508
2020-11-25,60-69,Left Blank,NA,21402,491909,27
2020-11-25,60-69,NH/PI*,NA,86,880,3
2020-11-25,60-69,Other,NA,2214,27723,14
2020-11-25,60-69,White,NA,29023,404426,718
2020-11-25,60-69,NA,NA,71226,1087845,1925
2020-11-25,70-79,AI/AN**,NA,47,440,3
2020-11-25,70-79,Asian,NA,788,8854,107
2020-11-25,70-79,Black,NA,4344,50840,684
2020-11-25,70-79,Hispanic,NA,3596,19090,458
2020-11-25,70-79,Left Blank,NA,10234,285494,58
2020-11-25,70-79,NH/PI*,NA,31,342,2
2020-11-25,70-79,Other,NA,999,15617,20
2020-11-25,70-79,White,NA,17826,274072,1535
2020-11-25,70-79,NA,NA,37865,654749,2867
2020-11-25,80+,AI/AN**,NA,28,241,6
2020-11-25,80+,Asian,NA,545,5292,210
2020-11-25,80+,Black,NA,2800,27943,850
2020-11-25,80+,Hispanic,NA,1774,9653,481
2020-11-25,80+,Left Blank,NA,7647,309356,182
2020-11-25,80+,NH/PI*,NA,19,151,3
2020-11-25,80+,Other,NA,502,7999,24
2020-11-25,80+,White,NA,15657,240376,3847
2020-11-25,80+,NA,NA,28972,601011,5603
2020-11-25,Unknown,AI/AN**,NA,0,0,0
2020-11-25,Unknown,Asian,NA,0,51,0
2020-11-25,Unknown,Black,NA,5,172,0
2020-11-25,Unknown,Hispanic,NA,11,263,0
2020-11-25,Unknown,Left Blank,NA,163,567617,0
2020-11-25,Unknown,NH/PI*,NA,0,0,0
2020-11-25,Unknown,Other,NA,2,45,0
2020-11-25,Unknown,White,NA,37,547,0
2020-11-25,Unknown,NA,NA,218,568695,0
2020-11-25,NA,AI/AN**,NA,794,7930,16
2020-11-25,NA,Asian,NA,13503,380947,438
2020-11-25,NA,Black,NA,66519,762290,2537
2020-11-25,NA,Hispanic,NA,136076,734142,2084
2020-11-25,NA,Left Blank,NA,212934,4636422,281
2020-11-25,NA,NH/PI*,NA,708,10624,11
2020-11-25,NA,Other,NA,23561,313131,63
2020-11-25,NA,White,NA,231372,3259051,6402
2020-11-25,NA,NA,Female,353703,5265470,5466
2020-11-25,NA,NA,Male,321050,4004493,6366
2020-11-25,NA,NA,Unknown/Left Blank,10714,834574,0
2020-11-24,<20,AI/AN**,NA,107,1091,0
2020-11-24,<20,Asian,NA,1470,76609,0
2020-11-24,<20,Black,NA,7595,95353,5
2020-11-24,<20,Hispanic,NA,22749,145325,1
2020-11-24,<20,Left Blank,NA,31026,423841,0
2020-11-24,<20,NH/PI*,NA,81,1739,0
2020-11-24,<20,Other,NA,3534,53942,0
2020-11-24,<20,White,NA,28690,440303,2
2020-11-24,<20,NA,NA,95252,1238203,8
2020-11-24,20-29,AI/AN**,NA,153,1835,0
2020-11-24,20-29,Asian,NA,2571,168362,2
2020-11-24,20-29,Black,NA,12044,146854,16
2020-11-24,20-29,Hispanic,NA,28611,193789,20
2020-11-24,20-29,Left Blank,NA,40973,725867,0
2020-11-24,20-29,NH/PI*,NA,128,2980,0
2020-11-24,20-29,Other,NA,4624,78412,1
2020-11-24,20-29,White,NA,40257,651034,1
2020-11-24,20-29,NA,NA,129361,1969133,40
2020-11-24,30-39,AI/AN**,NA,142,1243,0
2020-11-24,30-39,Asian,NA,2325,45719,6
2020-11-24,30-39,Black,NA,11067,114088,54
2020-11-24,30-39,Hispanic,NA,24871,122683,81
2020-11-24,30-39,Left Blank,NA,34626,648640,2
2020-11-24,30-39,NH/PI*,NA,130,1731,0
2020-11-24,30-39,Other,NA,4137,50421,0
2020-11-24,30-39,White,NA,31326,425996,14
2020-11-24,30-39,NA,NA,108624,1410521,157
2020-11-24,40-49,AI/AN**,NA,117,1090,1
2020-11-24,40-49,Asian,NA,2178,30021,13
2020-11-24,40-49,Black,NA,10431,107050,102
2020-11-24,40-49,Hispanic,NA,25606,107711,185
2020-11-24,40-49,Left Blank,NA,32401,561438,3
2020-11-24,40-49,NH/PI*,NA,125,1351,1
2020-11-24,40-49,Other,NA,3776,39927,0
2020-11-24,40-49,White,NA,30090,359629,54
2020-11-24,40-49,NA,NA,104724,1208217,359
2020-11-24,50-59,AI/AN**,NA,119,1100,2
2020-11-24,50-59,Asian,NA,1930,25292,28
2020-11-24,50-59,Black,NA,10018,114841,246
2020-11-24,50-59,Hispanic,NA,18132,80989,344
2020-11-24,50-59,Left Blank,NA,31183,588032,8
2020-11-24,50-59,NH/PI*,NA,104,1370,2
2020-11-24,50-59,Other,NA,3396,36294,4
2020-11-24,50-59,White,NA,35288,432800,227
2020-11-24,50-59,NA,NA,100170,1280718,861
2020-11-24,60-69,AI/AN**,NA,78,807,4
2020-11-24,60-69,Asian,NA,1478,16715,71
2020-11-24,60-69,Black,NA,7611,97862,576
2020-11-24,60-69,Hispanic,NA,9103,45634,506
2020-11-24,60-69,Left Blank,NA,20973,486938,26
2020-11-24,60-69,NH/PI*,NA,86,855,3
2020-11-24,60-69,Other,NA,2175,27457,14
2020-11-24,60-69,White,NA,28464,399454,711
2020-11-24,60-69,NA,NA,69968,1075722,1911
2020-11-24,70-79,AI/AN**,NA,45,434,3
2020-11-24,70-79,Asian,NA,767,8743,106
2020-11-24,70-79,Black,NA,4296,50409,681
2020-11-24,70-79,Hispanic,NA,3554,18881,455
2020-11-24,70-79,Left Blank,NA,10031,282931,57
2020-11-24,70-79,NH/PI*,NA,31,336,1
2020-11-24,70-79,Other,NA,978,15473,21
2020-11-24,70-79,White,NA,17512,271363,1505
2020-11-24,70-79,NA,NA,37214,648570,2829
2020-11-24,80+,AI/AN**,NA,27,235,6
2020-11-24,80+,Asian,NA,545,5175,210
2020-11-24,80+,Black,NA,2769,27683,847
2020-11-24,80+,Hispanic,NA,1753,9549,478
2020-11-24,80+,Left Blank,NA,7528,306455,175
2020-11-24,80+,NH/PI*,NA,19,151,3
2020-11-24,80+,Other,NA,500,7887,25
2020-11-24,80+,White,NA,15425,237142,3768
2020-11-24,80+,NA,NA,28566,594277,5512
2020-11-24,Unknown,AI/AN**,NA,0,0,0
2020-11-24,Unknown,Asian,NA,0,51,0
2020-11-24,Unknown,Black,NA,5,172,0
2020-11-24,Unknown,Hispanic,NA,11,263,0
2020-11-24,Unknown,Left Blank,NA,155,563868,0
2020-11-24,Unknown,NH/PI*,NA,0,0,0
2020-11-24,Unknown,Other,NA,2,44,0
